trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,EUR_JPY,bearish,2023-01-01 22:00:00+00:00,2023-02-14 22:00:00+00:00,140.03824999999998,143.14216116664971,143.06716116664973,131.5572987333807,-1.02,-215.2,0,14,0
2,NZD_CAD,bearish,2023-01-01 22:00:00+00:00,2023-04-16 21:00:00+00:00,0.86688276,0.8054635374298789,0.8801667819166925,0.8296874986332609,4.62,970.94,1,14,0
3,NZD_CAD,bearish,2023-01-01 22:00:00+00:00,2023-05-28 21:00:00+00:00,0.865286,0.7962357505848875,0.8802005832083574,0.8235251670165994,4.63,972.24,1,14,0
4,USD_CHF,bullish,2023-01-02 22:00:00+00:00,2023-01-08 22:00:00+00:00,0.93620296,0.9165331759199153,0.9172831759199154,0.989178355424237,-1.04,-218.32,0,15,0
5,GBP_CHF,bearish,2023-01-02 22:00:00+00:00,2023-01-19 22:00:00+00:00,1.1258235,1.1394272654880566,1.1386772654880566,1.089832956633442,-1.06,-222.25,0,15,0
6,CAD_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-03 22:00:00+00:00,96.751292,98.16957892678688,98.09457892678688,92.99008860499676,-1.06,-221.72,0,15,0
7,EUR_JPY,bearish,2023-01-02 22:00:00+00:00,2023-01-09 22:00:00+00:00,139.59322,141.99679251188903,141.92179251188904,133.0732169667107,-1.03,-216.76,0,14,0
8,EUR_USD,bearish,2023-01-02 22:00:00+00:00,2023-01-11 22:00:00+00:00,1.0540043000000001,1.0789675288660256,1.0782175288660256,0.9862072591751287,-1.03,-216.5,0,15,0
9,EUR_USD,bullish,2023-01-02 22:00:00+00:00,2023-01-23 22:00:00+00:00,1.05663868,1.111340647884769,1.044789968913511,1.0898150710421695,4.62,969.51,1,15,0
10,CHF_JPY,bearish,2023-01-02 22:00:00+00:00,2023-02-12 22:00:00+00:00,141.782886,144.01752564624692,143.94252564624693,135.73589499050854,-1.03,-217.29,0,15,0
11,CAD_JPY,bearish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,96.909822,99.08711576730896,99.01211576730896,91.02339945153494,-1.04,-217.49,0,15,0
12,AUD_CHF,bearish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,0.62974152,0.6405005002014096,0.6397505002014096,0.6017163754360535,-1.07,-225.74,0,15,0
13,EUR_AUD,bullish,2023-01-03 22:00:00+00:00,2023-01-08 22:00:00+00:00,1.56553982,1.544482832906022,1.545232832906022,1.6223993838631379,-1.04,-217.76,0,15,0
14,CHF_JPY,bearish,2023-01-03 22:00:00+00:00,2023-02-20 22:00:00+00:00,142.271846,145.6302737728813,145.55527377288132,133.07824823593234,-1.02,-214.8,0,15,0
15,USD_JPY,bearish,2023-01-03 22:00:00+00:00,2023-02-20 22:00:00+00:00,131.763984,135.29642616384766,135.22142616384767,122.0831459412265,-1.02,-214.56,0,15,0
16,USD_CAD,bullish,2023-01-04 22:00:00+00:00,2023-01-05 22:00:00+00:00,1.35786192,1.3461547203490127,1.3469047203490128,1.388542079022764,-1.07,-224.37,0,15,0
17,USD_JPY,bullish,2023-01-04 22:00:00+00:00,2023-01-11 22:00:00+00:00,133.47302,129.01087570499863,129.0858757049986,145.75702402600385,-1.02,-213.59,0,15,0
18,XAG_USD,bearish,2023-01-05 00:00:00+00:00,2023-02-02 00:00:00+00:00,23.341060047149657,24.43894316935612,24.43144316935612,20.287987304971566,-1.01,-211.44,0,15,0
19,USD_CAD,bullish,2023-01-05 22:00:00+00:00,2023-01-08 22:00:00+00:00,1.36319808,1.3434078233770723,1.3441578233770723,1.4165107985441978,-1.04,-218.27,0,15,0
20,USD_CAD,bearish,2023-01-05 22:00:00+00:00,2023-01-30 22:00:00+00:00,1.36303376,1.3085471473590242,1.3748364550087555,1.3299862139754846,4.62,969.46,1,14,0
21,EUR_NZD,bearish,2023-01-05 22:00:00+00:00,2023-02-26 22:00:00+00:00,1.67724,1.7211711606740552,1.7204211606740551,1.5563327501126458,-1.02,-213.65,0,15,0
22,SPX500_USD,bullish,2023-01-06 00:00:00+00:00,2023-02-03 00:00:00+00:00,3874.5575,4424.721007859815,3756.8409384914926,4204.16387222382,4.67,981.46,1,15,0
23,AUD_JPY,bearish,2023-01-08 22:00:00+00:00,2023-06-08 21:00:00+00:00,91.07997800000001,93.66157407490371,93.58657407490371,84.06150899026966,-1.03,-216.28,0,15,0
24,EUR_NZD,bearish,2023-01-08 22:00:00+00:00,2023-02-16 22:00:00+00:00,1.66802728,1.715711242566224,1.714961242566224,1.5366121848145728,-1.02,-213.36,0,15,0
25,USD_CHF,bearish,2023-01-09 22:00:00+00:00,2023-07-13 21:00:00+00:00,0.92294,0.8219101510911728,0.9446878309634246,0.8620460733024111,4.65,975.56,1,15,0
26,NZD_CHF,bullish,2023-01-10 22:00:00+00:00,2023-02-14 22:00:00+00:00,0.58781532,0.5788867985240738,0.5796367985240738,0.6107151801325935,-1.09,-229.26,0,15,0
27,USD_CHF,bearish,2023-01-10 22:00:00+00:00,2023-07-12 21:00:00+00:00,0.92540284,0.8354470714989459,0.9447844144660371,0.8711344314950958,4.64,974.67,1,15,0
