time,Open,High,Low,Close,Volume
2023-01-03,11038.41992188,11093.09960938,10770.92968750,10862.63964844,4780650000
2023-01-04,10949.33984375,10981.45996094,10785.53027344,10914.79980469,5085380000
2023-01-05,10837.25000000,10842.33007812,10728.25976562,10741.21972656,4764270000
2023-01-06,10807.45996094,11082.58984375,10696.41992188,11040.34960938,5199780000
2023-01-09,11133.07031250,11304.83984375,11085.32031250,11108.45019531,5132190000
2023-01-10,11069.04980469,11207.55957031,11050.67968750,11205.78027344,4710680000
2023-01-11,11259.16015625,11403.88964844,11220.75000000,11402.51953125,5284390000
2023-01-12,11441.45019531,11500.86035156,11246.01953125,11459.61035156,5681240000
2023-01-13,11362.12988281,11547.95996094,11347.59960938,11541.48046875,5077990000
2023-01-17,11531.54003906,11615.95019531,11484.01953125,11557.19042969,5138410000
2023-01-18,11636.61035156,11690.26953125,11403.30957031,11410.29003906,5288630000
2023-01-19,11345.19042969,11388.45996094,11251.94042969,11295.66992188,4660800000
2023-01-20,11363.84960938,11623.20019531,11329.54003906,11619.03027344,5980110000
2023-01-23,11652.00000000,11918.86035156,11617.83007812,11872.54003906,5997810000
2023-01-24,11802.95019531,11889.37011719,11780.07031250,11846.63964844,5670860000
2023-01-25,11636.00976562,11841.80957031,11550.07031250,11814.69042969,5485570000
2023-01-26,11972.57031250,12055.80957031,11853.37011719,12051.48046875,5732890000
2023-01-27,12000.20996094,12248.15039062,11999.87011719,12166.59960938,6243800000
2023-01-30,12047.16015625,12087.67968750,11906.11035156,11912.38964844,5122320000
2023-01-31,11915.94042969,12104.12988281,11915.94042969,12101.92968750,5695150000
2023-02-01,12087.91992188,12458.87011719,12010.73046875,12363.09960938,6336040000
2023-02-02,12655.17968750,12880.98046875,12600.75976562,12803.13964844,7038210000
2023-02-03,12520.95019531,12828.70996094,12520.95019531,12573.36035156,5954490000
2023-02-06,12468.79980469,12558.87011719,12411.87988281,12464.50976562,5538350000
2023-02-07,12474.95019531,12771.58984375,12419.70996094,12728.26953125,5720240000
2023-02-08,12680.03027344,12709.45019531,12471.12011719,12495.37988281,5052870000
2023-02-09,12677.54003906,12679.54003906,12327.44042969,12381.16992188,5536290000
2023-02-10,12306.58984375,12375.71972656,12204.20996094,12304.91992188,4885030000
2023-02-13,12356.50000000,12522.78027344,12313.45019531,12502.30957031,4752880000
2023-02-14,12413.09960938,12627.40039062,12356.32031250,12590.88964844,5032430000
2023-02-15,12531.59960938,12689.33984375,12486.41992188,12687.88964844,5056640000
2023-02-16,12495.07031250,12653.40039062,12440.00000000,12442.48046875,5159410000
2023-02-17,12352.29980469,12385.51953125,12233.79003906,12358.17968750,4925230000
2023-02-21,12205.20996094,12257.05957031,12058.23046875,12060.29980469,5002540000
2023-02-22,12085.66992188,12156.20996094,12006.04003906,12066.26953125,4671270000
2023-02-23,12224.44042969,12227.40039062,12003.30957031,12180.13964844,4714580000
2023-02-24,11979.79980469,12018.32031250,11900.83984375,11969.65039062,4432650000
2023-02-27,12106.79003906,12159.63964844,12034.61035156,12057.79003906,4494000000
2023-02-28,12041.75000000,12146.51953125,12021.32031250,12042.12011719,5340950000
2023-03-01,12026.71972656,12054.48046875,11906.58007812,11938.57031250,4927530000
2023-03-02,11830.08984375,12074.58984375,11830.08984375,12044.87011719,5313760000
2023-03-03,12110.70996094,12300.45996094,12095.24023438,12290.80957031,5102210000
2023-03-06,12344.65039062,12466.87988281,12297.57031250,12302.48046875,4982880000
2023-03-07,12303.19042969,12344.04003906,12130.00976562,12152.16992188,5422820000
2023-03-08,12181.05957031,12237.71972656,12102.28027344,12215.33007812,5085970000
2023-03-09,12230.83984375,12340.45019531,11970.33984375,11995.87988281,5061790000
2023-03-10,12001.70019531,12069.62011719,11789.86035156,11830.28027344,6193500000
2023-03-13,11752.09960938,12073.95996094,11695.41015625,11923.16992188,6201490000
2023-03-14,12078.45996094,12217.87011719,12035.21972656,12199.79003906,5533120000
2023-03-15,12083.24023438,12269.45019531,12026.17968750,12251.32031250,5912430000
2023-03-16,12211.87011719,12595.69042969,12190.65039062,12581.38964844,5498920000
2023-03-17,12570.16015625,12674.33984375,12444.08007812,12519.87988281,7903090000
2023-03-20,12487.79003906,12578.34960938,12407.82031250,12562.61035156,4970630000
2023-03-21,12643.34960938,12762.45019531,12582.75976562,12741.44042969,4829870000
2023-03-22,12742.41015625,12943.62011719,12563.78027344,12567.15039062,4981590000
2023-03-23,12735.59960938,12900.09960938,12611.66992188,12729.23046875,4917460000
2023-03-24,12700.50976562,12770.28027344,12608.15039062,12767.04980469,4363650000
2023-03-27,12797.90039062,12839.41992188,12647.94042969,12673.07031250,4330320000
2023-03-28,12654.91015625,12654.91015625,12517.87011719,12610.57031250,4036910000
2023-03-29,12768.13964844,12867.32031250,12734.67968750,12846.03027344,4493540000
2023-03-30,12934.99023438,12987.96972656,12894.13964844,12963.13964844,4738880000
2023-03-31,12968.95996094,13188.83007812,12968.00000000,13181.34960938,5521150000
2023-04-03,13084.09960938,13157.46972656,13036.54980469,13148.34960938,4816440000
2023-04-04,13165.32031250,13204.08007812,13049.98046875,13100.08007812,4298760000
2023-04-05,13056.79003906,13065.28027344,12894.44042969,12967.20019531,4378590000
2023-04-06,12892.90039062,13078.09960938,12846.03027344,13062.59960938,3862800000
2023-04-10,12936.51953125,13051.84960938,12861.51953125,13051.23046875,4334070000
2023-04-11,13040.49023438,13049.55957031,12947.66015625,12964.15039062,4676960000
2023-04-12,13043.96972656,13071.98046875,12833.30957031,12848.34960938,4909770000
2023-04-13,12922.90039062,13124.41015625,12920.01953125,13109.38964844,4942990000
2023-04-14,13044.69042969,13152.28027344,12962.50976562,13079.51953125,4655740000
2023-04-17,13053.25976562,13105.67968750,12981.25976562,13087.70996094,4823180000
